topic,document_types,weight
customer_inquiries,notice + schedule,4
customer_inquiries,notice + customer_support,1
customer_inquiries,notice + form,3
customer_inquiries,notice + instruction,2
customer_inquiries,memo + article,1
customer_inquiries,memo + advertisement,1
customer_inquiries,memo + internal_chat,3
customer_inquiries,memo + schedule,1
customer_inquiries,memo + customer_support,1
customer_inquiries,memo + form,1
customer_inquiries,memo + instruction,1
customer_inquiries,article + advertisement,1
customer_inquiries,article + internal_chat,1
customer_inquiries,article + schedule,1
customer_inquiries,article + customer_support,1
customer_inquiries,article + form,1
customer_inquiries,article + instruction,1
customer_inquiries,advertisement + internal_chat,1
customer_inquiries,advertisement + schedule,1
customer_inquiries,advertisement + customer_support,1
customer_inquiries,advertisement + form,1
customer_inquiries,advertisement + instruction,1
customer_inquiries,internal_chat + schedule,1
customer_inquiries,internal_chat + customer_support,1
customer_inquiries,internal_chat + form,1
customer_inquiries,internal_chat + instruction,1
customer_inquiries,schedule + customer_support,1
customer_inquiries,schedule + form,1
customer_inquiries,schedule + instruction,1
customer_inquiries,customer_support + form,1
customer_inquiries,customer_support + instruction,1
customer_inquiries,form + instruction,2
meeting_scheduling,email + notice,5
meeting_scheduling,email + memo,4
meeting_scheduling,email + article,1
meeting_scheduling,email + advertisement,1
meeting_scheduling,email + internal_chat,3
meeting_scheduling,email + schedule,5
meeting_scheduling,email + customer_support,1
meeting_scheduling,email + form,3
meeting_scheduling,email + instruction,1
meeting_scheduling,notice + memo,1
meeting_scheduling,notice + article,1
meeting_scheduling,notice + advertisement,1
meeting_scheduling,notice + internal_chat,1
meeting_scheduling,notice + schedule,4
meeting_scheduling,notice + customer_support,1
meeting_scheduling,notice + form,3
meeting_scheduling,notice + instruction,2
meeting_scheduling,memo + article,1
meeting_scheduling,memo + advertisement,1
meeting_scheduling,memo + internal_chat,3
meeting_scheduling,memo + schedule,1
meeting_scheduling,memo + customer_support,1
meeting_scheduling,memo + form,1
meeting_scheduling,memo + instruction,1
meeting_scheduling,article + advertisement,1
meeting_scheduling,article + internal_chat,1
meeting_scheduling,article + schedule,1
meeting_scheduling,article + customer_support,1
meeting_scheduling,article + form,1
meeting_scheduling,article + instruction,1
meeting_scheduling,advertisement + internal_chat,1
meeting_scheduling,advertisement + schedule,1
meeting_scheduling,advertisement + customer_support,1
meeting_scheduling,advertisement + form,1
meeting_scheduling,advertisement + instruction,1
meeting_scheduling,internal_chat + schedule,1
meeting_scheduling,internal_chat + customer_support,1
meeting_scheduling,internal_chat + form,1
meeting_scheduling,internal_chat + instruction,1
meeting_scheduling,schedule + customer_support,1
meeting_scheduling,schedule + form,1
meeting_scheduling,schedule + instruction,1
meeting_scheduling,customer_support + form,1
meeting_scheduling,customer_support + instruction,1
meeting_scheduling,form + instruction,2
office_announcements,email + notice,5
office_announcements,email + memo,4
office_announcements,email + article,1
office_announcements,email + advertisement,1
office_announcements,email + internal_chat,3
office_announcements,email + schedule,5
office_announcements,email + customer_support,1
office_announcements,email + form,3
office_announcements,email + instruction,1
office_announcements,notice + memo,1
office_announcements,notice + article,1
office_announcements,notice + advertisement,1
office_announcements,notice + internal_chat,1
office_announcements,notice + schedule,4
office_announcements,notice + customer_support,1
office_announcements,notice + form,3
office_announcements,notice + instruction,2
office_announcements,memo + article,1
office_announcements,memo + advertisement,1
office_announcements,memo + internal_chat,3
office_announcements,memo + schedule,1
office_announcements,memo + customer_support,1
office_announcements,memo + form,1
office_announcements,memo + instruction,1
office_announcements,article + advertisement,1
office_announcements,article + internal_chat,1
office_announcements,article + schedule,1
office_announcements,article + customer_support,1
office_announcements,article + form,1
office_announcements,article + instruction,1
office_announcements,advertisement + internal_chat,1
office_announcements,advertisement + schedule,1
office_announcements,advertisement + customer_support,1
office_announcements,advertisement + form,1
office_announcements,advertisement + instruction,1
office_announcements,internal_chat + schedule,1
office_announcements,internal_chat + customer_support,1
office_announcements,internal_chat + form,1
office_announcements,internal_chat + instruction,1
office_announcements,schedule + customer_support,1
office_announcements,schedule + form,1
office_announcements,schedule + instruction,1
office_announcements,customer_support + form,1
office_announcements,customer_support + instruction,1
office_announcements,form + instruction,2
policy_changes,email + notice,5
policy_changes,email + memo,4
policy_changes,email + article,1
policy_changes,email + advertisement,1
policy_changes,email + internal_chat,3
policy_changes,email + schedule,5
policy_changes,email + customer_support,1
policy_changes,email + form,3
policy_changes,email + instruction,1
policy_changes,notice + memo,1
policy_changes,notice + article,1
policy_changes,notice + advertisement,1
policy_changes,notice + internal_chat,1
policy_changes,notice + schedule,4
policy_changes,notice + customer_support,1
policy_changes,notice + form,3
policy_changes,notice + instruction,2
policy_changes,memo + article,1
policy_changes,memo + advertisement,1
policy_changes,memo + internal_chat,3
policy_changes,memo + schedule,1
policy_changes,memo + customer_support,1
policy_changes,memo + form,1
policy_changes,memo + instruction,1
policy_changes,article + advertisement,1
policy_changes,article + internal_chat,1
policy_changes,article + schedule,1
policy_changes,article + customer_support,1
policy_changes,article + form,1
policy_changes,article + instruction,1
policy_changes,advertisement + internal_chat,1
policy_changes,advertisement + schedule,1
policy_changes,advertisement + customer_support,1
policy_changes,advertisement + form,1
policy_changes,advertisement + instruction,1
policy_changes,internal_chat + schedule,1
policy_changes,internal_chat + customer_support,1
policy_changes,internal_chat + form,1
policy_changes,internal_chat + instruction,1
policy_changes,schedule + customer_support,1
policy_changes,schedule + form,1
policy_changes,schedule + instruction,1
policy_changes,customer_support + form,1
policy_changes,customer_support + instruction,1
policy_changes,form + instruction,2
product_launch,email + notice,5
product_launch,email + memo,4
product_launch,email + article,1
product_launch,email + advertisement,1
product_launch,email + internal_chat,3
product_launch,email + schedule,5
product_launch,email + customer_support,1
product_launch,email + form,3
product_launch,email + instruction,1
product_launch,notice + memo,1
product_launch,notice + article,1
product_launch,notice + advertisement,1
product_launch,notice + internal_chat,1
product_launch,notice + schedule,4
product_launch,notice + customer_support,1
product_launch,notice + form,3
product_launch,notice + instruction,2
product_launch,memo + article,1
product_launch,memo + advertisement,1
product_launch,memo + internal_chat,3
product_launch,memo + schedule,1
product_launch,memo + customer_support,1
product_launch,memo + form,1
product_launch,memo + instruction,1
product_launch,article + advertisement,1
product_launch,article + internal_chat,1
product_launch,article + schedule,1
product_launch,article + customer_support,1
product_launch,article + form,1
product_launch,article + instruction,1
product_launch,advertisement + internal_chat,1
product_launch,advertisement + schedule,1
product_launch,advertisement + customer_support,1
product_launch,advertisement + form,1
product_launch,advertisement + instruction,1
product_launch,internal_chat + schedule,1
product_launch,internal_chat + customer_support,1
product_launch,internal_chat + form,1
product_launch,internal_chat + instruction,1
product_launch,schedule + customer_support,1
product_launch,schedule + form,1
product_launch,schedule + instruction,1
product_launch,customer_support + form,1
product_launch,customer_support + instruction,1
product_launch,form + instruction,2
schedule_changes,email + notice,5
schedule_changes,email + memo,4
schedule_changes,email + article,1
schedule_changes,email + advertisement,1
schedule_changes,email + internal_chat,3
schedule_changes,email + schedule,5
schedule_changes,email + customer_support,1
schedule_changes,email + form,3
schedule_changes,email + instruction,1
schedule_changes,notice + memo,1
schedule_changes,notice + article,1
schedule_changes,notice + advertisement,1
schedule_changes,notice + internal_chat,1
schedule_changes,notice + schedule,4
schedule_changes,notice + customer_support,1
schedule_changes,notice + form,3
schedule_changes,notice + instruction,2
schedule_changes,memo + article,1
schedule_changes,memo + advertisement,1
schedule_changes,memo + internal_chat,3
schedule_changes,memo + schedule,1
schedule_changes,memo + customer_support,1
schedule_changes,memo + form,1
schedule_changes,memo + instruction,1
schedule_changes,article + advertisement,1
schedule_changes,article + internal_chat,1
schedule_changes,article + schedule,1
schedule_changes,article + customer_support,1
schedule_changes,article + form,1
schedule_changes,article + instruction,1
schedule_changes,advertisement + internal_chat,1
schedule_changes,advertisement + schedule,1
schedule_changes,advertisement + customer_support,1
schedule_changes,advertisement + form,1
schedule_changes,advertisement + instruction,1
schedule_changes,internal_chat + schedule,1
schedule_changes,internal_chat + customer_support,1
schedule_changes,internal_chat + form,1
schedule_changes,internal_chat + instruction,1
schedule_changes,schedule + customer_support,1
schedule_changes,schedule + form,1
schedule_changes,schedule + instruction,1
schedule_changes,customer_support + form,1
schedule_changes,customer_support + instruction,1
schedule_changes,form + instruction,2
cross_department_coordination,email + notice,5
cross_department_coordination,email + memo,4
cross_department_coordination,email + article,1
cross_department_coordination,email + advertisement,1
cross_department_coordination,email + internal_chat,3
cross_department_coordination,email + schedule,5
cross_department_coordination,email + customer_support,1
cross_department_coordination,email + form,3
cross_department_coordination,email + instruction,1
cross_department_coordination,notice + memo,1
cross_department_coordination,notice + article,1
cross_department_coordination,notice + advertisement,1
cross_department_coordination,notice + internal_chat,1
cross_department_coordination,notice + schedule,4
cross_department_coordination,notice + customer_support,1
cross_department_coordination,notice + form,3
cross_department_coordination,notice + instruction,2
cross_department_coordination,memo + article,1
cross_department_coordination,memo + advertisement,1
cross_department_coordination,memo + internal_chat,3
cross_department_coordination,memo + schedule,1
cross_department_coordination,memo + customer_support,1
cross_department_coordination,memo + form,1
cross_department_coordination,memo + instruction,1
cross_department_coordination,article + advertisement,1
cross_department_coordination,article + internal_chat,1
cross_department_coordination,article + schedule,1
cross_department_coordination,article + customer_support,1
cross_department_coordination,article + form,1
cross_department_coordination,article + instruction,1
cross_department_coordination,advertisement + internal_chat,1
cross_department_coordination,advertisement + schedule,1
cross_department_coordination,advertisement + customer_support,1
cross_department_coordination,advertisement + form,1
cross_department_coordination,advertisement + instruction,1
cross_department_coordination,internal_chat + schedule,1
cross_department_coordination,internal_chat + customer_support,1
cross_department_coordination,internal_chat + form,1
cross_department_coordination,internal_chat + instruction,1
cross_department_coordination,schedule + customer_support,1
cross_department_coordination,schedule + form,1
cross_department_coordination,schedule + instruction,1
cross_department_coordination,customer_support + form,1
cross_department_coordination,customer_support + instruction,1
cross_department_coordination,form + instruction,2
event_planning,email + notice,5
event_planning,email + memo,4
event_planning,email + article,1
event_planning,email + advertisement,1
event_planning,email + internal_chat,3
event_planning,email + schedule,5
event_planning,email + customer_support,1
event_planning,email + form,3
event_planning,email + instruction,1
event_planning,notice + memo,1
event_planning,notice + article,1
event_planning,notice + advertisement,1
event_planning,notice + internal_chat,1
event_planning,notice + schedule,4
event_planning,notice + customer_support,1
event_planning,notice + form,3
event_planning,notice + instruction,2
event_planning,memo + article,1
event_planning,memo + advertisement,1
event_planning,memo + internal_chat,3
event_planning,memo + schedule,1
event_planning,memo + customer_support,1
event_planning,memo + form,1
event_planning,memo + instruction,1
event_planning,article + advertisement,1
event_planning,article + internal_chat,1
event_planning,article + schedule,1
event_planning,article + customer_support,1
event_planning,article + form,1
event_planning,article + instruction,1
event_planning,advertisement + internal_chat,1
event_planning,advertisement + schedule,1
event_planning,advertisement + customer_support,1
event_planning,advertisement + form,1
event_planning,advertisement + instruction,1
event_planning,internal_chat + schedule,1
event_planning,internal_chat + customer_support,1
event_planning,internal_chat + form,1
event_planning,internal_chat + instruction,1
event_planning,schedule + customer_support,1
event_planning,schedule + form,1
event_planning,schedule + instruction,1
event_planning,customer_support + form,1
event_planning,customer_support + instruction,1
event_planning,form + instruction,2
financial_analysis,email + notice,5
financial_analysis,email + memo,4
financial_analysis,email + article,1
financial_analysis,email + advertisement,1
financial_analysis,email + internal_chat,3
financial_analysis,email + schedule,5
financial_analysis,email + customer_support,1
financial_analysis,email + form,3
financial_analysis,email + instruction,1
financial_analysis,notice + memo,1
financial_analysis,notice + article,1
financial_analysis,notice + advertisement,1
financial_analysis,notice + internal_chat,1
financial_analysis,notice + schedule,4
financial_analysis,notice + customer_support,1
financial_analysis,notice + form,3
financial_analysis,notice + instruction,2
financial_analysis,memo + article,1
financial_analysis,memo + advertisement,1
financial_analysis,memo + internal_chat,3
financial_analysis,memo + schedule,1
financial_analysis,memo + customer_support,1
financial_analysis,memo + form,1
financial_analysis,memo + instruction,1
financial_analysis,article + advertisement,1
financial_analysis,article + internal_chat,1
financial_analysis,article + schedule,1
financial_analysis,article + customer_support,1
financial_analysis,article + form,1
financial_analysis,article + instruction,1
financial_analysis,advertisement + internal_chat,1
financial_analysis,advertisement + schedule,1
financial_analysis,advertisement + customer_support,1
financial_analysis,advertisement + form,1
financial_analysis,advertisement + instruction,1
financial_analysis,internal_chat + schedule,1
financial_analysis,internal_chat + customer_support,1
financial_analysis,internal_chat + form,1
financial_analysis,internal_chat + instruction,1
financial_analysis,schedule + customer_support,1
financial_analysis,schedule + form,1
financial_analysis,schedule + instruction,1
financial_analysis,customer_support + form,1
financial_analysis,customer_support + instruction,1
financial_analysis,form + instruction,2
international_business,email + notice,5
international_business,email + memo,4
international_business,email + article,1
international_business,email + advertisement,1
international_business,email + internal_chat,3
international_business,email + schedule,5
international_business,email + customer_support,1
international_business,email + form,3
international_business,email + instruction,1
international_business,notice + memo,1
international_business,notice + article,1
international_business,notice + advertisement,1
international_business,notice + internal_chat,1
international_business,notice + schedule,4
international_business,notice + customer_support,1
international_business,notice + form,3
international_business,notice + instruction,2
international_business,memo + article,1
international_business,memo + advertisement,1
international_business,memo + internal_chat,3
international_business,memo + schedule,1
international_business,memo + customer_support,1
international_business,memo + form,1
international_business,memo + instruction,1
international_business,article + advertisement,1
international_business,article + internal_chat,1
international_business,article + schedule,1
international_business,article + customer_support,1
international_business,article + form,1
international_business,article + instruction,1
international_business,advertisement + internal_chat,1
international_business,advertisement + schedule,1
international_business,advertisement + customer_support,1
international_business,advertisement + form,1
international_business,advertisement + instruction,1
international_business,internal_chat + schedule,1
international_business,internal_chat + customer_support,1
international_business,internal_chat + form,1
international_business,internal_chat + instruction,1
international_business,schedule + customer_support,1
international_business,schedule + form,1
international_business,schedule + instruction,1
international_business,customer_support + form,1
international_business,customer_support + instruction,1
international_business,form + instruction,2
legal_compliance,email + notice,5
legal_compliance,email + memo,4
legal_compliance,email + article,1
legal_compliance,email + advertisement,1
legal_compliance,email + internal_chat,3
legal_compliance,email + schedule,5
legal_compliance,email + customer_support,1
legal_compliance,email + form,3
legal_compliance,email + instruction,1
legal_compliance,notice + memo,1
legal_compliance,notice + article,1
legal_compliance,notice + advertisement,1
legal_compliance,notice + internal_chat,1
legal_compliance,notice + schedule,4
legal_compliance,notice + customer_support,1
legal_compliance,notice + form,3
legal_compliance,notice + instruction,2
legal_compliance,memo + article,1
legal_compliance,memo + advertisement,1
legal_compliance,memo + internal_chat,3
legal_compliance,memo + schedule,1
legal_compliance,memo + customer_support,1
legal_compliance,memo + form,1
legal_compliance,memo + instruction,1
legal_compliance,article + advertisement,1
legal_compliance,article + internal_chat,1
legal_compliance,article + schedule,1
legal_compliance,article + customer_support,1
legal_compliance,article + form,1
legal_compliance,article + instruction,1
legal_compliance,advertisement + internal_chat,1
legal_compliance,advertisement + schedule,1
legal_compliance,advertisement + customer_support,1
legal_compliance,advertisement + form,1
legal_compliance,advertisement + instruction,1
legal_compliance,internal_chat + schedule,1
legal_compliance,internal_chat + customer_support,1
legal_compliance,internal_chat + form,1
legal_compliance,internal_chat + instruction,1
legal_compliance,schedule + customer_support,1
legal_compliance,schedule + form,1
legal_compliance,schedule + instruction,1
legal_compliance,customer_support + form,1
legal_compliance,customer_support + instruction,1
legal_compliance,form + instruction,2
performance_reviews,email + notice,5
performance_reviews,email + memo,4
performance_reviews,email + article,1
performance_reviews,email + advertisement,1
performance_reviews,email + internal_chat,3
performance_reviews,email + schedule,5
performance_reviews,email + customer_support,1
performance_reviews,email + form,3
performance_reviews,email + instruction,1
performance_reviews,notice + memo,1
performance_reviews,notice + article,1
performance_reviews,notice + advertisement,1
performance_reviews,notice + internal_chat,1
performance_reviews,notice + schedule,4
performance_reviews,notice + customer_support,1
performance_reviews,notice + form,3
performance_reviews,notice + instruction,2
performance_reviews,memo + article,1
performance_reviews,memo + advertisement,1
performance_reviews,memo + internal_chat,3
performance_reviews,memo + schedule,1
performance_reviews,memo + customer_support,1
performance_reviews,memo + form,1
performance_reviews,memo + instruction,1
performance_reviews,article + advertisement,1
performance_reviews,article + internal_chat,1
performance_reviews,article + schedule,1
performance_reviews,article + customer_support,1
performance_reviews,article + form,1
performance_reviews,article + instruction,1
performance_reviews,advertisement + internal_chat,1
performance_reviews,advertisement + schedule,1
performance_reviews,advertisement + customer_support,1
performance_reviews,advertisement + form,1
performance_reviews,advertisement + instruction,1
performance_reviews,internal_chat + schedule,1
performance_reviews,internal_chat + customer_support,1
performance_reviews,internal_chat + form,1
performance_reviews,internal_chat + instruction,1
performance_reviews,schedule + customer_support,1
performance_reviews,schedule + form,1
performance_reviews,schedule + instruction,1
performance_reviews,customer_support + form,1
performance_reviews,customer_support + instruction,1
performance_reviews,form + instruction,2
project_collaboration,email + notice,5
project_collaboration,email + memo,4
project_collaboration,email + article,1
project_collaboration,email + advertisement,1
project_collaboration,email + internal_chat,3
project_collaboration,email + schedule,5
project_collaboration,email + customer_support,1
project_collaboration,email + form,3
project_collaboration,email + instruction,1
project_collaboration,notice + memo,1
project_collaboration,notice + article,1
project_collaboration,notice + advertisement,1
project_collaboration,notice + internal_chat,1
project_collaboration,notice + schedule,4
project_collaboration,notice + customer_support,1
project_collaboration,notice + form,3
project_collaboration,notice + instruction,2
project_collaboration,memo + article,1
project_collaboration,memo + advertisement,1
project_collaboration,memo + internal_chat,3
project_collaboration,memo + schedule,1
project_collaboration,memo + customer_support,1
project_collaboration,memo + form,1
project_collaboration,memo + instruction,1
project_collaboration,article + advertisement,1
project_collaboration,article + internal_chat,1
project_collaboration,article + schedule,1
project_collaboration,article + customer_support,1
project_collaboration,article + form,1
project_collaboration,article + instruction,1
project_collaboration,advertisement + internal_chat,1
project_collaboration,advertisement + schedule,1
project_collaboration,advertisement + customer_support,1
project_collaboration,advertisement + form,1
project_collaboration,advertisement + instruction,1
project_collaboration,internal_chat + schedule,1
project_collaboration,internal_chat + customer_support,1
project_collaboration,internal_chat + form,1
project_collaboration,internal_chat + instruction,1
project_collaboration,schedule + customer_support,1
project_collaboration,schedule + form,1
project_collaboration,schedule + instruction,1
project_collaboration,customer_support + form,1
project_collaboration,customer_support + instruction,1
project_collaboration,form + instruction,2
service_announcements,email + notice,5
service_announcements,email + memo,4
service_announcements,email + article,1
service_announcements,email + advertisement,1
service_announcements,email + internal_chat,3
service_announcements,email + schedule,5
service_announcements,email + customer_support,1
service_announcements,email + form,3
service_announcements,email + instruction,1
service_announcements,notice + memo,1
service_announcements,notice + article,1
service_announcements,notice + advertisement,1
service_announcements,notice + internal_chat,1
service_announcements,notice + schedule,4
service_announcements,notice + customer_support,1
service_announcements,notice + form,3
service_announcements,notice + instruction,2
service_announcements,memo + article,1
service_announcements,memo + advertisement,1
service_announcements,memo + internal_chat,3
service_announcements,memo + schedule,1
service_announcements,memo + customer_support,1
service_announcements,memo + form,1
service_announcements,memo + instruction,1
service_announcements,article + advertisement,1
service_announcements,article + internal_chat,1
service_announcements,article + schedule,1
service_announcements,article + customer_support,1
service_announcements,article + form,1
service_announcements,article + instruction,1
service_announcements,advertisement + internal_chat,1
service_announcements,advertisement + schedule,1
service_announcements,advertisement + customer_support,1
service_announcements,advertisement + form,1
service_announcements,advertisement + instruction,1
service_announcements,internal_chat + schedule,1
service_announcements,internal_chat + customer_support,1
service_announcements,internal_chat + form,1
service_announcements,internal_chat + instruction,1
service_announcements,schedule + customer_support,1
service_announcements,schedule + form,1
service_announcements,schedule + instruction,1
service_announcements,customer_support + form,1
service_announcements,customer_support + instruction,1
service_announcements,form + instruction,2
simple_notifications,email + notice,5
simple_notifications,email + memo,4
simple_notifications,email + article,1
simple_notifications,email + advertisement,1
simple_notifications,email + internal_chat,3
simple_notifications,email + schedule,5
simple_notifications,email + customer_support,1
simple_notifications,email + form,3
simple_notifications,email + instruction,1
simple_notifications,notice + memo,1
simple_notifications,notice + article,1
simple_notifications,notice + advertisement,1
simple_notifications,notice + internal_chat,1
simple_notifications,notice + schedule,4
simple_notifications,notice + customer_support,1
simple_notifications,notice + form,3
simple_notifications,notice + instruction,2
simple_notifications,memo + article,1
simple_notifications,memo + advertisement,1
simple_notifications,memo + internal_chat,3
simple_notifications,memo + schedule,1
simple_notifications,memo + customer_support,1
simple_notifications,memo + form,1
simple_notifications,memo + instruction,1
simple_notifications,article + advertisement,1
simple_notifications,article + internal_chat,1
simple_notifications,article + schedule,1
simple_notifications,article + customer_support,1
simple_notifications,article + form,1
simple_notifications,article + instruction,1
simple_notifications,advertisement + internal_chat,1
simple_notifications,advertisement + schedule,1
simple_notifications,advertisement + customer_support,1
simple_notifications,advertisement + form,1
simple_notifications,advertisement + instruction,1
simple_notifications,internal_chat + schedule,1
simple_notifications,internal_chat + customer_support,1
simple_notifications,internal_chat + form,1
simple_notifications,internal_chat + instruction,1
simple_notifications,schedule + customer_support,1
simple_notifications,schedule + form,1
simple_notifications,schedule + instruction,1
simple_notifications,customer_support + form,1
simple_notifications,customer_support + instruction,1
simple_notifications,form + instruction,2
system_updates,email + notice,5
system_updates,email + memo,4
system_updates,email + article,1
system_updates,email + advertisement,1
system_updates,email + internal_chat,3
system_updates,email + schedule,5
system_updates,email + customer_support,1
system_updates,email + form,3
system_updates,email + instruction,1
system_updates,notice + memo,1
system_updates,notice + article,1
system_updates,notice + advertisement,1
system_updates,notice + internal_chat,1
system_updates,notice + schedule,4
system_updates,notice + customer_support,1
system_updates,notice + form,3
system_updates,notice + instruction,2
system_updates,memo + article,1
system_updates,memo + advertisement,1
system_updates,memo + internal_chat,3
system_updates,memo + schedule,1
system_updates,memo + customer_support,1
system_updates,memo + form,1
system_updates,memo + instruction,1
system_updates,article + advertisement,1
system_updates,article + internal_chat,1
system_updates,article + schedule,1
system_updates,article + customer_support,1
system_updates,article + form,1
system_updates,article + instruction,1
system_updates,advertisement + internal_chat,1
system_updates,advertisement + schedule,1
system_updates,advertisement + customer_support,1
system_updates,advertisement + form,1
system_updates,advertisement + instruction,1
system_updates,internal_chat + schedule,1
system_updates,internal_chat + customer_support,1
system_updates,internal_chat + form,1
system_updates,internal_chat + instruction,1
system_updates,schedule + customer_support,1
system_updates,schedule + form,1
system_updates,schedule + instruction,1
system_updates,customer_support + form,1
system_updates,customer_support + instruction,1
system_updates,form + instruction,2
team_coordination,email + notice,5
team_coordination,email + memo,4
team_coordination,email + article,1
team_coordination,email + advertisement,1
team_coordination,email + internal_chat,3
team_coordination,email + schedule,5
team_coordination,email + customer_support,1
team_coordination,email + form,3
team_coordination,email + instruction,1
team_coordination,notice + memo,1
team_coordination,notice + article,1
team_coordination,notice + advertisement,1
team_coordination,notice + internal_chat,1
team_coordination,notice + schedule,4
team_coordination,notice + customer_support,1
team_coordination,notice + form,3
team_coordination,notice + instruction,2
team_coordination,memo + article,1
team_coordination,memo + advertisement,1
team_coordination,memo + internal_chat,3
team_coordination,memo + schedule,1
team_coordination,memo + customer_support,1
team_coordination,memo + form,1
team_coordination,memo + instruction,1
team_coordination,article + advertisement,1
team_coordination,article + internal_chat,1
team_coordination,article + schedule,1
team_coordination,article + customer_support,1
team_coordination,article + form,1
team_coordination,article + instruction,1
team_coordination,advertisement + internal_chat,1
team_coordination,advertisement + schedule,1
team_coordination,advertisement + customer_support,1
team_coordination,advertisement + form,1
team_coordination,advertisement + instruction,1
team_coordination,internal_chat + schedule,1
team_coordination,internal_chat + customer_support,1
team_coordination,internal_chat + form,1
